# slope intercept sigma lnLike
3.078787344744658760e+00 3.518783124029764675e+00 1.433370686999279331e-01 -2.112210483859127663e+01
3.306275843584918661e+00 3.043400692270541441e+00 9.990003858389100155e-02 -1.778131803411307388e+01
3.325918174046413434e+00 3.019258473933291942e+00 1.262748735288576341e-01 -1.835336161878533190e+01
3.301008639421699087e+00 3.034309376500404110e+00 7.039837418093954080e-02 -1.885417581002787912e+01
3.252962298799553675e+00 3.182505011626025393e+00 1.069906061056656033e-01 -1.838576868805121123e+01
3.288336771409872572e+00 3.088726413965630524e+00 4.502865638180214569e-02 -1.912765335804225941e+01
3.285612665041685698e+00 3.109611925234990082e+00 1.251547651633257985e-01 -1.826198669942395014e+01
3.260605168298363221e+00 3.095685419361138280e+00 7.734385839166936505e-02 -2.058689917967972249e+01
3.219581111825795539e+00 3.247679626689395693e+00 1.099437582324057222e-01 -1.850612919755553420e+01
3.253080872346822972e+00 3.180216645098971284e+00 8.493419951885974872e-02 -1.868414970668906605e+01
3.226003468021355403e+00 3.247956751398101360e+00 1.442766815575188266e-01 -1.962630640568558960e+01
3.361715717291443806e+00 2.938074115718070090e+00 6.977208673938263550e-02 -1.848419280480282367e+01
3.290518928171838997e+00 3.084276621550429365e+00 5.456477582850901425e-02 -1.876474445668902291e+01
3.376083171103304359e+00 2.962960639199842205e+00 7.421412474802348280e-02 -2.229886088923005261e+01
3.331629730421306057e+00 3.004659813784522626e+00 5.749435120496908247e-02 -1.867695325572676524e+01
3.214523821589300390e+00 3.245580333501606685e+00 1.406500665984803111e-01 -1.865193649407424559e+01
3.205887815965253740e+00 3.218855555117356992e+00 1.175044486184812775e-01 -1.955332687382917456e+01
3.112858593872068091e+00 3.418100337461705163e+00 1.710693805565420555e-01 -2.204086856870930689e+01
3.317965205354196367e+00 3.024527798747384200e+00 1.186419990674128233e-01 -1.800992292564441399e+01
3.341509657636690722e+00 2.996551227715102517e+00 5.209709931461706939e-02 -1.934282366481140514e+01
3.221273283372564133e+00 3.262109161565099669e+00 1.196965936375717771e-01 -1.951739486099651444e+01
3.377768813792593416e+00 2.910423264537602694e+00 1.147668892713851196e-01 -1.870435749249458368e+01
