# slope intercept sigma lnLike
3.577577196827164574e+00 1.242791157409487424e+00 7.928578913144659901e-02 -4.487950997016175947e+00
3.608468934376312554e+00 1.181142825942199659e+00 1.150126605374623967e-01 -5.285576364020994511e+00
3.578062594914673600e+00 1.232939766542676674e+00 6.438575789056140419e-02 -5.157730110341153029e+00
3.412895073318413353e+00 1.676469400921800634e+00 1.069550604604179167e-01 -5.785193844032880506e+00
3.509524938174219511e+00 1.426184393037994935e+00 8.214870727213402501e-02 -4.215732761615073265e+00
3.429205216645323961e+00 1.608120191755906037e+00 7.402456714116559255e-02 -5.266731757976130801e+00
3.485858606208616983e+00 1.473385175875164155e+00 1.194679184949393874e-01 -4.726971123564137400e+00
3.507360087816727923e+00 1.423097332882571564e+00 8.194069760672624547e-02 -4.144422338050835819e+00
3.385449570976068134e+00 1.715383698342086705e+00 2.730528381755931849e-02 -9.723872630685548302e+00
3.627075529335239246e+00 1.152569628820700576e+00 7.818625692194491883e-02 -5.371167946229285839e+00
3.691111106186816038e+00 9.924240302187130602e-01 7.291354691377667507e-02 -6.598764133529575027e+00
3.601863803168162015e+00 1.176200902050397845e+00 1.047755544107102782e-01 -5.172729375845703359e+00
3.676527229034161959e+00 1.026372826622183876e+00 9.214160419503510113e-02 -6.139756380279833614e+00
3.553605732550816576e+00 1.326317015803918586e+00 1.163032205034493782e-01 -4.984638593343721169e+00
3.592521721848214167e+00 1.205163125472187513e+00 4.949726206921609833e-02 -5.551160321828705335e+00
3.436903016973277492e+00 1.570684135382375946e+00 6.802843562342619776e-02 -6.010595275518794800e+00
3.508206755507274455e+00 1.436229525395207984e+00 9.429471877852178829e-02 -4.337730837485510804e+00
3.559761536535507975e+00 1.292833115478905670e+00 1.015424870434498972e-01 -4.316495430552095947e+00
3.514961772026495623e+00 1.401895584454770027e+00 9.254132696062108976e-02 -4.066641304757594888e+00
3.549900963797643971e+00 1.321905741880166740e+00 8.642629175061550262e-02 -4.120374426589989980e+00
3.561515485619316301e+00 1.300877884126495188e+00 1.029374579054519734e-01 -4.430632709364905608e+00
3.474467855762559676e+00 1.564777993163677383e+00 1.214422749147225367e-01 -8.915967688078666242e+00
3.439412733946477285e+00 1.574104021021763167e+00 9.472973307878067295e-02 -4.797989386750858287e+00
3.601728716556935161e+00 1.197480457170401191e+00 9.483826638315166757e-02 -4.618864824356620602e+00
3.459110429451678570e+00 1.520010946763935555e+00 1.035296266570435303e-01 -4.836305573149070725e+00
3.603018691622219105e+00 1.211348664081711934e+00 6.085737552245759630e-02 -5.503439922583075905e+00
3.590102196107396892e+00 1.279055402827597554e+00 1.107240664586024298e-01 -8.155370356228575091e+00
3.446819862549223235e+00 1.547877288981318156e+00 1.061588270271171114e-01 -5.067781398802423176e+00
3.544127813639470492e+00 1.344175335222101531e+00 1.071209916201590340e-01 -4.458746746683282858e+00
3.449010678177545142e+00 1.563817732072189770e+00 1.168632830922977789e-01 -4.836684076340648453e+00
3.241792567754993915e+00 2.054319666952417744e+00 9.396517703833298651e-02 -1.110235194318576291e+01
3.320620579381682091e+00 1.873779670560435040e+00 9.069043272504703768e-02 -7.664538203472294420e+00
3.617256881108789290e+00 1.176809333986422068e+00 1.066113916567963532e-01 -5.500821445808935728e+00
3.495033627054357606e+00 1.449848470000357992e+00 6.012160813845777302e-02 -4.939197518137296683e+00
3.615217080769581592e+00 1.176200182618770684e+00 1.334004616039778379e-01 -6.641129842646799730e+00
3.435577007392836446e+00 1.595424624424940596e+00 1.471824083283709561e-01 -6.691742244074602830e+00
3.490883661868528165e+00 1.428011425396711775e+00 8.713896839444722209e-02 -5.598479056860414360e+00
3.587015334671223687e+00 1.222676088053582300e+00 8.451942967415423946e-02 -4.470676094198096528e+00
3.570650657995296573e+00 1.266180409191389300e+00 9.551307239444813135e-02 -4.305595343184963397e+00
3.560566202241263856e+00 1.281012974660734383e+00 8.733537466796847948e-02 -4.388205837256572650e+00
3.603257364575370936e+00 1.193116944510897559e+00 7.830847433772827881e-02 -4.625933529867777949e+00
3.703847586159715988e+00 9.029873802765273627e-01 8.644008402857690510e-02 -8.965477453855084988e+00
3.610889739125540121e+00 1.180417118856976977e+00 1.145451098211984764e-01 -5.359612795698855514e+00
3.433499242298534426e+00 1.608862176038978964e+00 1.009247323049930478e-01 -4.756397316568468980e+00
3.508605775823844919e+00 1.410501144147617847e+00 1.085072131771766951e-01 -4.391837295421669118e+00
3.637374748583898310e+00 1.120596610471322085e+00 5.220265119649800806e-02 -5.992344713211069873e+00
3.559277648615811085e+00 1.276764775591632262e+00 4.932563197832223051e-02 -5.766777171484671172e+00
3.571462640728851223e+00 1.279831467376125520e+00 6.201564283277049422e-02 -4.896893615727603510e+00
3.441252185445334177e+00 1.574278038294711912e+00 9.416568698456281861e-02 -4.662990578485061377e+00
3.549645767215967584e+00 1.297897411007600255e+00 1.451069238176879161e-01 -6.936275713956570499e+00
3.571887487888917079e+00 1.234173995298189386e+00 1.189083234959160684e-01 -6.044489200617357838e+00
3.484102150998150904e+00 1.451561483492892268e+00 6.313278998849844448e-02 -5.877050278138753470e+00
3.381680776275083122e+00 1.776559677653607894e+00 1.073182179637414829e-01 -8.493053154150665307e+00
3.480615730496473326e+00 1.486200628684148484e+00 6.335637960314492723e-02 -4.927127021140219831e+00
3.591471866688387582e+00 1.248415281794429177e+00 9.410236172196922988e-02 -5.384567841471578298e+00
3.534278926348969563e+00 1.352942871822553128e+00 1.112373453058598249e-01 -4.454272947526470183e+00
3.615183507748620961e+00 1.182650202174168941e+00 7.914394036229720208e-02 -5.239904297333165317e+00
3.529564181942195233e+00 1.389654233001386352e+00 9.404203225033076763e-02 -4.532354845616376693e+00
3.528433237442377912e+00 1.382536918060885300e+00 1.198882573911107530e-01 -4.890973993138457487e+00
3.579268377338682861e+00 1.284075170901242124e+00 1.018558113063344206e-01 -5.794122791002894957e+00
3.448293443671231362e+00 1.561636185840483027e+00 1.374311869804464570e-01 -5.895344072911647082e+00
3.585373727662865218e+00 1.228911353579405619e+00 8.970779301638846792e-02 -4.416271569389436991e+00
3.448615483483784327e+00 1.591502736822391295e+00 1.263874363857042660e-01 -6.013507132688910239e+00
3.605341019094430610e+00 1.193127863613610895e+00 3.398983074996360376e-02 -6.297373081657413607e+00
3.491807125240240506e+00 1.429529701584199008e+00 1.064226486593718712e-01 -5.305905723101007609e+00
3.472972743875782253e+00 1.478682386089503087e+00 6.629920003260991734e-02 -5.841140395147387920e+00
3.561883917832328716e+00 1.289498789003598489e+00 8.933736213061026221e-02 -4.184031043467959066e+00
3.522662376180873522e+00 1.383879536966109214e+00 6.118272410389630211e-02 -4.711932738939442089e+00
3.620170715227478464e+00 1.162001826463274101e+00 1.116943580664062630e-01 -5.470820641550423247e+00
3.577624293715737203e+00 1.264674251979211794e+00 1.090596109615507847e-01 -4.806584621164533111e+00
3.505528471285548342e+00 1.461177534673468781e+00 1.435556069760058062e-01 -7.381739920879967443e+00
3.468563435431372799e+00 1.500886526419099587e+00 8.597293738135237950e-02 -4.646868150844082557e+00
3.527781906202425155e+00 1.422507930494171458e+00 8.650764712022281089e-02 -6.846435814603786696e+00
3.501417631813799503e+00 1.442007889739508109e+00 8.853457836309952533e-02 -4.120007867599071005e+00
3.679972000731731807e+00 1.035292465984729571e+00 7.613464887739310183e-02 -7.063871930161329082e+00
3.555340250796584112e+00 1.322371828794582038e+00 9.967769416855831732e-02 -4.495620648040221212e+00
3.509945219188525645e+00 1.393190909816478751e+00 1.090773695653656089e-01 -4.892750303880962548e+00
3.545155399908237470e+00 1.329402103193374485e+00 1.180770149482034959e-01 -4.760629425477246102e+00
3.507807938197596176e+00 1.432632414533871135e+00 1.222723070536700929e-01 -4.970031230738830352e+00
3.385761663514391895e+00 1.753615197276402471e+00 1.181710006733824869e-01 -7.257935266815159991e+00
